"spp_code","HB_9113_sum","HB_9116_sum","HB_9121_sum","HB_NA_sum","LTB_9113_sum","LTB_9116_sum","LTB_NA_sum","MTB_9113_sum","MTB_9116_sum","MTB_9121_sum","MTB_NA_sum","OTB_9113_sum","OTB_9116_sum","OTB_9121_sum","OTB_NA_sum","HB_9113_mean","HB_9116_mean","HB_9121_mean","HB_NA_mean","LTB_9113_mean","LTB_9116_mean","LTB_NA_mean","MTB_9113_mean","MTB_9116_mean","MTB_9121_mean","MTB_NA_mean","OTB_9113_mean","OTB_9116_mean","OTB_9121_mean","OTB_NA_mean"
"Ast_y_graecum",0,0,0,1,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0.002,0,0.006,0.013,0,0,0,0.002,0.002,0,0,0
"Bag_marinus",0,0,0,10,0,0,0,1,0,0,0,2,2,1,8,0,0,0,0.015,0,0,0,0.002,0,0,0,0.004,0.005,0.037,0.013
"Bai_chrysoura",1513,1364,89,2420,1365,2054,811,2706,4796,338,2257,4084,8078,287,2751,12.932,23.93,7.417,3.65,6.859,5.835,3.408,6.04,12.111,56.333,4.374,7.93,19.052,10.63,4.547
"Bat_soporator",0,0,0,1,0,0,0,1,1,0,1,0,36,0,1,0,0,0,0.002,0,0,0,0.002,0.003,0,0.002,0,0.085,0,0.002
"Bathygobius_spp",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0
"Brevoortia_spp",0,0,0,221,13,0,1,2,1,0,68,11,4,11,20,0,0,0,0.333,0.065,0,0.004,0.004,0.003,0,0.132,0.021,0.009,0.407,0.033
"Cal_arctifrons",0,0,0,0,2,2,3,2,4,0,1,1,0,0,0,0,0,0,0,0.01,0.006,0.013,0.004,0.01,0,0.002,0.002,0,0,0
"Cal_ornatus",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0
"Cal_penna",0,0,0,0,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0.006,0.013,0.007,0.003,0,0,0,0,0,0
"Cal_sapidus",30,62,5,225,19,58,21,136,76,18,138,192,172,13,303,0.256,1.088,0.417,0.339,0.095,0.165,0.088,0.304,0.192,3,0.267,0.373,0.406,0.481,0.501
"Cal_similis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0
"Calamus_spp",0,0,1,0,3,21,2,5,5,0,3,1,0,0,0,0,0,0.083,0,0.015,0.06,0.008,0.011,0.013,0,0.006,0.002,0,0,0
"Callinectes_spp",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.002,0,0,0,0,0,0,0
"Car_hippos",0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.002
"Car_leucas",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
"Car_limbatus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
"Cen_striata",0,0,0,0,0,6,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0.017,0.004,0.002,0.01,0,0.002,0.002,0,0,0
"Cen_undecimalis",0,0,0,3,0,2,0,1,1,0,10,2,0,0,2,0,0,0,0.005,0,0.006,0,0.002,0.003,0,0.019,0.004,0,0,0.003
"Cha_faber",8,4,0,44,1,5,2,14,18,0,28,44,16,2,37,0.068,0.07,0,0.066,0.005,0.014,0.008,0.031,0.045,0,0.054,0.085,0.038,0.074,0.061
"Cha_saburrae",26,31,15,34,11,80,13,97,183,3,43,240,180,13,129,0.222,0.544,1.25,0.051,0.055,0.227,0.055,0.217,0.462,0.5,0.083,0.466,0.425,0.481,0.213
"Chi_schoepfii",8,5,0,11,36,107,20,47,69,0,38,40,40,0,18,0.068,0.088,0,0.017,0.181,0.304,0.084,0.105,0.174,0,0.074,0.078,0.094,0,0.03
