Scientificname,1999_sum,2001_sum,2004_sum,2006_sum,2008_sum,2010_sum,2012_sum,2014_sum,2016_sum,2018_sum,2020_sum,2022_sum,1999_mean,2001_mean,2004_mean,2006_mean,2008_mean,2010_mean,2012_mean,2014_mean,2016_mean,2018_mean,2020_mean,2022_mean
Clupeidae spp.,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0.002,0.003,0,0.003,0,0,0,0,0,0.003
Ctenogobius boleosoma,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.003,0,0,0.003,0
Ctenogobius smaragdus,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0.003,0,0,0,0.008,0,0
Cynoscion arenarius,9,38,35,62,21,12,24,21,20,29,4,9,0.051,0.099,0.063,0.159,0.054,0.03,0.062,0.054,0.054,0.075,0.01,0.024
Cynoscion nebulosus,479,536,1218,777,489,565,726,451,564,690,534,322,2.691,1.403,2.195,1.992,1.254,1.43,1.881,1.165,1.512,1.788,1.387,0.875
Cyprinodon variegatus,540,10,165,8,97,10,24,0,28,37,14,9,3.034,0.026,0.297,0.021,0.249,0.025,0.062,0,0.075,0.096,0.036,0.024
Dactyloscopus moorei,1,0,0,1,6,1,0,0,0,1,3,2,0.006,0,0,0.003,0.015,0.003,0,0,0,0.003,0.008,0.005
Dactyloscopidae spp.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0
Hypanus americanus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
Hypanus sabinus,10,18,23,17,19,16,14,18,21,18,26,15,0.056,0.047,0.041,0.044,0.049,0.041,0.036,0.047,0.056,0.047,0.068,0.041
Hypanus say,0,3,1,0,1,1,2,0,2,0,0,0,0,0.008,0.002,0,0.003,0.003,0.005,0,0.005,0,0,0
Diapterus auratus,0,0,0,0,0,0,0,0,1,0,9,95,0,0,0,0,0,0,0,0,0.003,0,0.023,0.258
Diapterus spp.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0
Diplectrum formosum,0,1,2,0,0,0,0,0,0,0,1,0,0,0.003,0.004,0,0,0,0,0,0,0,0.003,0
Diplodus holbrookii,5,29,8,11,6,10,188,87,15,19,9,38,0.028,0.076,0.014,0.028,0.015,0.025,0.487,0.225,0.04,0.049,0.023,0.103
Dorosoma petenense,0,4,3,0,0,0,0,0,1,1,10,0,0,0.01,0.005,0,0,0,0,0,0.003,0.003,0.026,0
