bio_reference,species,sl,COUNT,nl
TBM1998041302,8835400201,32,1,3
TBM1998041302,8835440603,45,1,1
TBM1998041304,8820020113,76,1,1
TBM1998041304,8835400201,14,1,10
TBM1998041304,8835400201,15,2,10
TBM1998041304,8835400201,16,2,10
TBM1998041304,8835400201,17,2,10
TBM1998041304,8835400201,18,2,10
TBM1998041304,8835400201,20,1,10
TBM1998041304,8835430201,15,1,13
TBM1998041304,8835430201,16,1,13
TBM1998041304,8835430201,17,2,13
TBM1998041304,8835430201,18,4,13
TBM1998041304,8835430201,19,1,13
TBM1998041304,8835430201,22,1,13
TBM1998041304,8835430201,28,2,13
TBM1998041304,8835430201,30,1,13
TBM1998041304,8835440603,15,1,3
TBM1998041304,8835440603,20,1,3
TBM1998041304,8835440603,35,1,3
TBM1998041402,8762020101,32,1,1
TBM1998041402,8826020103,12,1,1
TBM1998041402,8835440603,18,1,1
TBM1998041402,8857030302,26,1,3
TBM1998041402,8857030302,55,2,3
TBM1998041501,8820020113,73,1,1
TBM1998041501,8835430201,18,1,5
TBM1998041501,8835430201,21,2,5
TBM1998041501,8835430201,22,1,5
TBM1998041501,8835430201,24,1,5
TBM1998041501,8847010701,48,1,2
TBM1998041501,8847010701,49,1,2
TBM1998041503,8820020104,62,1,1
TBM1998041503,8835390102,57,1,1
