NODCCODE,TSN,spp_code,Scientificname,Commonname,Manufactured_nodccode,Manufactured_tsn,spp_code_old
8710060000,551501,Oxynotidae spp.,Oxynotidae spp.,Rough Sharks,1,0,Oxynotidae spp.
8710070000,649694,Etmopteridae spp.,Etmopteridae spp.,Lantern Sharks,1,0,Etmopteridae spp.
8711010000,160783,Squatinidae spp.,Squatinidae spp.,Angel Sharks,0,0,Squatinidae spp.
8711010100,160784,Squatina spp.,Squatina spp.,angel sharks,0,0,Squatina spp.
8711010102,160787,Squ. dumeril,Squatina dumeril,Atlantic Angel Shark,0,0,S. dumeril
8712000000,563992,Batoidea spp.,Batoidea spp.,Skate or Ray,1,0,Batoidea spp.
8713010000,160807,Pristidae spp.,Pristidae spp.,sawfishes,0,0,Pristidae spp.
8713010100,160808,Pristis spp.,Pristis spp.,sawfishes,0,0,Pristis spp.
8713010101,160809,Pri. pectinata,Pristis pectinata,Smalltooth Sawfish,0,0,P. pectinata
8713010103,160810,Pri. pristis,Pristis pristis,Largetooth Sawfish,0,0,P. perotteti
8713020000,160813,Rhinobatidae spp.,Rhinobatidae spp.,guitarfishes,0,0,Rhinobatidae spp.
8713020100,160814,Pseudobatos spp.,Pseudobatos spp.,guitarfishes,0,0,Rhinobatos spp.
8713020101,160815,Pse. lentiginosus,Pseudobatos lentiginosus,Atlantic Guitarfish,0,0,Rhi. lentiginosus
8713030000,160829,Torpedinidae spp.,Torpedinidae spp.,Torpedo Electric Rays,0,0,Torpedinidae spp.
8713030100,160830,Torpedo spp.,Torpedo spp.,torpedo electric rays,0,0,Torpedo spp.
8713030103,160835,Tor. andersoni,Torpedo andersoni,Florida Torpedo,0,0,T. andersoni
8713030200,160839,Benthobatis spp.,Benthobatis spp.,electric rays,0,0,Benthobatis spp.
8713030201,160840,Ben. marcida,Benthobatis marcida,Deepsea Electric Ray,0,0,B. marcida
8713030500,999995,Tetronarce spp.,Tetronarce spp.,torpedo electric rays,1,1,Tetronarce spp.
8713030501,999996,Tet. occidentalis,Tetronarce occidentalis,Western Atlantic Torpedo,1,1,Tet. occidentalis
8713040000,160845,Rajidae spp.,Rajidae spp.,hardnose skates,0,0,Rajidae spp.
8713040124,564136,Leu. garmani,Leucoraja garmani,Rosette Skate,0,0,R. garmani
8713040126,564140,Leu. lentiginosa,Leucoraja lentiginosa,Freckled Skate,0,0,R. lentiginosa
8713040127,564146,Dip. olseni,Dipturus olseni,Spreadfin Skate,0,0,R. olseni
8713040160,564127,Dip. bullisi,Dipturus bullisi,Lozenge Skate,1,0,Dipturus bullisi
8713040161,564119,Fen. sinusmexicanus,Fenestraja sinusmexicanus,Gulf Skate,1,0,Fenestraja sinusmexicanus
8713040200,160903,Springeria spp.,Springeria spp.,legskates,0,0,Anacanthobatis spp.
8713040202,160905,Spr. longirostris,Springeria longirostris,Longnose Legskate,0,0,Ana. longirostris
8713040400,160917,Cruriraja spp.,Cruriraja spp.,pygmy skates,0,0,C.  spp.
